     OM      RW        f0      f1      f2      f3      f4      f5      f6       ~RW     MAG     ~OM  
  (dpt)    (dpt)    (dpt)   (dpt)   (dpt)   (dpt)   (dpt)   (dpt)   (dpt)     (dpt)   (dpt)   (dpt)
   3.33    3.33 |   -5.00   17.94   20.00   28.57   28.57    4.00    6.47 |    0.02    0.93    0.01
   3.33    3.03 |   -5.00   17.94   20.00   28.57   28.57    4.00    6.47 |   -0.02    0.93    0.01
   3.33    2.73 |   -5.00   17.94   20.00   28.57   28.57    4.00    6.47 |   -0.05    0.93    0.01
   3.33    2.43 |   -5.00   17.94   20.00   28.57   28.57    4.00    6.47 |   -0.08    0.93    0.01
   3.33    2.13 |   -5.00   17.94   20.00   28.57   28.57    4.00    6.47 |   -0.09    0.94    0.01
   3.33    1.83 |   -5.00   17.94   20.00   28.57   28.57    4.00    6.47 |   -0.10    0.94    0.01
   3.33    1.53 |   -5.00   17.94   20.00   28.57   28.57    4.00    6.47 |   -0.10    0.95    0.01
   3.33    1.23 |   -5.00   17.94   20.00   28.57   28.57    4.00    6.47 |   -0.09    0.95    0.01
   3.33    0.93 |   -5.00   17.94   20.00   28.57   28.57    4.00    6.47 |   -0.07    0.97    0.01
   3.33    0.63 |   -5.00   17.94   20.00   28.57   28.57    4.00    6.47 |   -0.04    0.99    0.01
   3.33    0.33 |   -5.00   17.94   20.00   28.57   28.57    4.00    6.47 |   -0.00    1.07    0.01
------------------------------------------------------------------
   3.03    3.33 |   -5.00   17.72   20.00   28.57   28.57    4.00    6.77 |    0.08    0.94    0.01
   3.03    3.03 |   -5.00   17.72   20.00   28.57   28.57    4.00    6.77 |    0.04    0.94    0.01
   3.03    2.73 |   -5.00   17.72   20.00   28.57   28.57    4.00    6.77 |   -0.00    0.94    0.01
   3.03    2.43 |   -5.00   17.72   20.00   28.57   28.57    4.00    6.77 |   -0.03    0.94    0.01
   3.03    2.13 |   -5.00   17.72   20.00   28.57   28.57    4.00    6.77 |   -0.06    0.94    0.01
   3.03    1.83 |   -5.00   17.72   20.00   28.57   28.57    4.00    6.77 |   -0.07    0.95    0.01
   3.03    1.53 |   -5.00   17.72   20.00   28.57   28.57    4.00    6.77 |   -0.07    0.95    0.01
   3.03    1.23 |   -5.00   17.72   20.00   28.57   28.57    4.00    6.77 |   -0.07    0.96    0.01
   3.03    0.93 |   -5.00   17.72   20.00   28.57   28.57    4.00    6.77 |   -0.06    0.97    0.01
   3.03    0.63 |   -5.00   17.72   20.00   28.57   28.57    4.00    6.77 |   -0.03    0.99    0.01
   3.03    0.33 |   -5.00   17.72   20.00   28.57   28.57    4.00    6.77 |    0.00    1.07    0.01
------------------------------------------------------------------
   2.73    3.33 |   -5.00   17.49   20.00   28.57   28.57    4.00    7.06 |    0.14    0.95    0.01
   2.73    3.03 |   -5.00   17.49   20.00   28.57   28.57    4.00    7.06 |    0.09    0.95    0.01
   2.73    2.73 |   -5.00   17.49   20.00   28.57   28.57    4.00    7.06 |    0.05    0.95    0.01
   2.73    2.43 |   -5.00   17.49   20.00   28.57   28.57    4.00    7.06 |    0.01    0.95    0.01
   2.73    2.13 |   -5.00   17.49   20.00   28.57   28.57    4.00    7.06 |   -0.02    0.95    0.01
   2.73    1.83 |   -5.00   17.49   20.00   28.57   28.57    4.00    7.06 |   -0.04    0.96    0.01
   2.73    1.53 |   -5.00   17.49   20.00   28.57   28.57    4.00    7.06 |   -0.05    0.96    0.01
   2.73    1.23 |   -5.00   17.49   20.00   28.57   28.57    4.00    7.06 |   -0.05    0.97    0.01
   2.73    0.93 |   -5.00   17.49   20.00   28.57   28.57    4.00    7.06 |   -0.04    0.98    0.01
   2.73    0.63 |   -5.00   17.49   20.00   28.57   28.57    4.00    7.06 |   -0.03    1.00    0.01
   2.73    0.33 |   -5.00   17.49   20.00   28.57   28.57    4.00    7.06 |    0.00    1.06    0.01
------------------------------------------------------------------
   2.43    3.33 |   -5.00   17.26   20.00   28.57   28.57    4.00    7.36 |    0.20    0.95    0.01
   2.43    3.03 |   -5.00   17.26   20.00   28.57   28.57    4.00    7.36 |    0.14    0.96    0.01
   2.43    2.73 |   -5.00   17.26   20.00   28.57   28.57    4.00    7.36 |    0.10    0.96    0.01
   2.43    2.43 |   -5.00   17.26   20.00   28.57   28.57    4.00    7.36 |    0.06    0.96    0.01
   2.43    2.13 |   -5.00   17.26   20.00   28.57   28.57    4.00    7.36 |    0.02    0.96    0.01
   2.43    1.83 |   -5.00   17.26   20.00   28.57   28.57    4.00    7.36 |   -0.00    0.96    0.01
   2.43    1.53 |   -5.00   17.26   20.00   28.57   28.57    4.00    7.36 |   -0.02    0.97    0.01
   2.43    1.23 |   -5.00   17.26   20.00   28.57   28.57    4.00    7.36 |   -0.03    0.97    0.01
   2.43    0.93 |   -5.00   17.26   20.00   28.57   28.57    4.00    7.36 |   -0.03    0.98    0.01
   2.43    0.63 |   -5.00   17.26   20.00   28.57   28.57    4.00    7.36 |   -0.02    1.00    0.01
   2.43    0.33 |   -5.00   17.26   20.00   28.57   28.57    4.00    7.36 |    0.00    1.05    0.01
------------------------------------------------------------------
   2.13    3.33 |   -5.00   17.02   20.00   28.57   28.57    4.00    7.66 |    0.26    0.96    0.01
   2.13    3.03 |   -5.00   17.02   20.00   28.57   28.57    4.00    7.66 |    0.20    0.96    0.01
   2.13    2.73 |   -5.00   17.02   20.00   28.57   28.57    4.00    7.66 |    0.14    0.96    0.01
   2.13    2.43 |   -5.00   17.02   20.00   28.57   28.57    4.00    7.66 |    0.10    0.97    0.01
   2.13    2.13 |   -5.00   17.02   20.00   28.57   28.57    4.00    7.66 |    0.06    0.97    0.01
   2.13    1.83 |   -5.00   17.02   20.00   28.57   28.57    4.00    7.66 |    0.03    0.97    0.01
   2.13    1.53 |   -5.00   17.02   20.00   28.57   28.57    4.00    7.66 |    0.01    0.97    0.01
   2.13    1.23 |   -5.00   17.02   20.00   28.57   28.57    4.00    7.66 |   -0.01    0.98    0.01
   2.13    0.93 |   -5.00   17.02   20.00   28.57   28.57    4.00    7.66 |   -0.01    0.98    0.01
   2.13    0.63 |   -5.00   17.02   20.00   28.57   28.57    4.00    7.66 |   -0.01    1.00    0.01
   2.13    0.33 |   -5.00   17.02   20.00   28.57   28.57    4.00    7.66 |    0.00    1.04    0.01
------------------------------------------------------------------
   1.83    3.33 |   -5.00   16.78   20.00   28.57   28.57    4.00    7.96 |    0.31    0.97    0.01
   1.83    3.03 |   -5.00   16.78   20.00   28.57   28.57    4.00    7.96 |    0.25    0.97    0.01
   1.83    2.73 |   -5.00   16.78   20.00   28.57   28.57    4.00    7.96 |    0.19    0.97    0.01
   1.83    2.43 |   -5.00   16.78   20.00   28.57   28.57    4.00    7.96 |    0.14    0.97    0.01
   1.83    2.13 |   -5.00   16.78   20.00   28.57   28.57    4.00    7.96 |    0.10    0.98    0.01
   1.83    1.83 |   -5.00   16.78   20.00   28.57   28.57    4.00    7.96 |    0.06    0.98    0.01
   1.83    1.53 |   -5.00   16.78   20.00   28.57   28.57    4.00    7.96 |    0.03    0.98    0.01
   1.83    1.23 |   -5.00   16.78   20.00   28.57   28.57    4.00    7.96 |    0.01    0.98    0.01
   1.83    0.93 |   -5.00   16.78   20.00   28.57   28.57    4.00    7.96 |    0.00    0.99    0.01
   1.83    0.63 |   -5.00   16.78   20.00   28.57   28.57    4.00    7.96 |   -0.00    1.00    0.01
   1.83    0.33 |   -5.00   16.78   20.00   28.57   28.57    4.00    7.96 |    0.00    1.03    0.01
------------------------------------------------------------------
   1.53    3.33 |   -5.00   16.53   20.00   28.57   28.57    4.00    8.26 |    0.37    0.98    0.00
   1.53    3.03 |   -5.00   16.53   20.00   28.57   28.57    4.00    8.26 |    0.30    0.98    0.00
   1.53    2.73 |   -5.00   16.53   20.00   28.57   28.57    4.00    8.26 |    0.24    0.98    0.00
   1.53    2.43 |   -5.00   16.53   20.00   28.57   28.57    4.00    8.26 |    0.18    0.98    0.00
   1.53    2.13 |   -5.00   16.53   20.00   28.57   28.57    4.00    8.26 |    0.13    0.98    0.00
   1.53    1.83 |   -5.00   16.53   20.00   28.57   28.57    4.00    8.26 |    0.09    0.98    0.00
   1.53    1.53 |   -5.00   16.53   20.00   28.57   28.57    4.00    8.26 |    0.06    0.99    0.00
   1.53    1.23 |   -5.00   16.53   20.00   28.57   28.57    4.00    8.26 |    0.03    0.99    0.00
   1.53    0.93 |   -5.00   16.53   20.00   28.57   28.57    4.00    8.26 |    0.01    0.99    0.00
   1.53    0.63 |   -5.00   16.53   20.00   28.57   28.57    4.00    8.26 |    0.00    1.00    0.00
   1.53    0.33 |   -5.00   16.53   20.00   28.57   28.57    4.00    8.26 |    0.00    1.02    0.00
------------------------------------------------------------------
   1.23    3.33 |   -5.00   16.27   20.00   28.57   28.57    4.00    8.55 |    0.43    0.99    0.00
   1.23    3.03 |   -5.00   16.27   20.00   28.57   28.57    4.00    8.55 |    0.35    0.99    0.00
